,order_date,total_sale_sum
0,2020-08-01,2161800700.0
1,2020-08-02,3121629700.0
2,2020-08-03,3883455800.0
3,2020-08-04,3602149200.0
4,2020-08-05,3310522500.0
5,2020-08-06,3086026600.0
6,2020-08-07,2855229900.0
7,2020-08-08,2485844100.0
8,2020-08-09,3420273000.0
9,2020-08-10,3817520700.0
10,2020-08-11,4274392800.0
11,2020-08-12,4153665000.0
12,2020-08-13,2449290100.0
13,2020-08-14,2865663700.0
14,2020-08-15,2836264900.0
15,2020-08-16,3310616100.0
16,2020-08-17,3447980500.0
17,2020-08-18,3688986700.0
18,2020-08-19,4279458200.0
19,2020-08-20,2435422600.0
20,2020-08-21,3013822300.0
21,2020-08-22,2968908600.0
22,2020-08-23,3609350800.0
23,2020-08-24,3908658800.0
24,2020-08-25,3439291900.0
25,2020-08-26,3485815800.0
26,2020-08-27,2893048000.0
27,2020-08-28,3031285000.0
28,2020-08-29,2531315400.0
29,2020-08-30,2792840800.0
30,2020-08-31,4236702000.0
31,2020-09-01,5136111200.0
32,2020-09-02,5300499200.0
33,2020-09-03,4138193900.0
34,2020-09-04,4672695700.0
35,2020-09-05,4448066200.0
36,2020-09-06,4972980700.0
37,2020-09-07,4552904100.0
38,2020-09-08,4676185600.0
39,2020-09-09,5165229400.0
40,2020-09-10,3729300000.0
41,2020-09-11,4317327500.0
42,2020-09-12,3461582300.0
43,2020-09-13,4157719000.0
44,2020-09-14,5049864400.0
45,2020-09-15,4216600300.0
46,2020-09-16,5712208600.0
47,2020-09-17,3868345000.0
48,2020-09-18,5138164800.0
49,2020-09-19,3866893200.0
50,2020-09-20,5232053300.0
51,2020-09-21,4768535200.0
52,2020-09-22,4488431100.0
53,2020-09-23,5178703900.0
54,2020-09-24,4266429100.0
55,2020-09-25,4729958300.0
56,2020-09-26,4061709700.0
57,2020-09-27,4326462200.0
58,2020-09-28,3692925000.0
59,2020-09-29,4979081200.0
60,2020-10-01,5422861100.0
61,2020-10-02,4822749400.0
62,2020-10-03,4822381800.0
63,2020-10-04,4254391600.0
64,2020-10-05,5106035100.0
65,2020-10-06,5119544100.0
66,2020-10-07,5277239800.0
67,2020-10-08,4527771300.0
68,2020-10-09,4796047200.0
69,2020-10-10,4367031000.0
70,2020-10-11,4713661100.0
71,2020-10-12,4540826100.0
72,2020-10-13,5645204700.0
73,2020-10-14,5025432600.0
74,2020-10-15,5928274100.0
75,2020-10-16,4829171300.0
76,2020-10-17,4230302500.0
77,2020-10-18,4969476700.0
78,2020-10-19,5064979800.0
79,2020-10-20,5508662200.0
80,2020-10-21,5873461200.0
81,2020-10-22,5352497800.0
82,2020-10-23,3909947800.0
83,2020-10-24,4295254800.0
84,2020-10-25,4601272300.0
85,2020-10-26,4450974900.0
86,2020-10-27,4548156800.0
87,2020-10-28,4652305300.0
88,2020-10-29,5618629100.0
